key,'Fri May 29','Fri Jun 5','Fri Jun 12','Fri Jun 19','Sat Jun 27','Fri Jul 3','Fri Jul 10','Sat Jul 18','Fri Jul 24','Fri Jul 31','Sat Aug 8','Fri Aug 14','Fri Aug 21','Sat Aug 29','Fri Sep 4','Fri Sep 11','Fri Sep 18','Fri Sep 25'
aa,G,U,G,U,G,G,U,U,G,U,U,G,U,G,G,G,U,G
ba,G,G,G,G,G,G,U,G,U,U,G,U,G,G,U,G,G,G
ca,U,U,U,U,U,U,U,U,G,U,G,G,U,U,G,U,U,U
da,U,U,U,U,U,U,G,U,U,U,U,U,U,U,U,U,A,U
ea,U,A,G,U,U,G,U,G,G,U,U,U,U,U,U,U,U,U
fa,U,U,U,G,G,N,G,U,U,U,U,N,U,U,U,U,U,U
ga,U,G,G,U,U,G,U,G,G,U,U,U,U,U,U,U,G,G
ha,G,G,G,U,U,U,U,U,G,U,U,G,U,G,G,U,U,U
ia,U,G,G,U,G,U,U,U,U,U,U,U,U,U,U,U,U,U
ja,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
ka,U,U,U,U,U,G,U,U,U,G,G,U,U,U,U,U,U,U
la,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
ma,G,U,U,U,U,U,G,U,U,G,U,U,U,U,U,U,U,U
na,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
oa,U,G,G,U,G,G,U,U,U,U,U,G,U,G,G,G,G,G
pa,G,U,G,U,G,G,U,G,U,U,U,U,U,U,U,U,U,U
qa,U,G,U,G,U,U,U,U,U,U,U,U,U,U,U,U,U,U
ra,U,U,U,U,G,U,U,U,U,G,U,U,U,U,U,U,U,U
sa,G,G,G,G,G,G,U,G,U,U,U,U,U,U,U,G,G,G
ta,G,U,U,G,U,U,G,G,G,U,U,U,U,U,U,U,U,U
ua,U,G,G,G,G,G,G,G,U,U,U,G,G,U,U,G,G,G
va,U,G,U,U,U,U,G,U,N,U,G,U,U,U,U,U,U,U
wa,U,U,U,G,N,G,U,U,U,U,U,U,U,U,U,U,U,U
xa,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
ya,U,U,U,G,U,U,G,U,U,U,U,U,G,U,U,U,U,U
za,U,U,U,U,U,G,U,U,U,G,G,U,U,U,U,U,U,U
ab,G,G,G,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
bb,U,U,U,U,G,U,U,U,G,U,U,U,U,U,U,U,U,U
cb,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
db,U,U,G,U,G,G,U,G,U,U,G,G,U,G,U,G,G,G
eb,U,G,U,U,U,U,U,G,U,G,U,N,U,U,U,U,U,U
fb,U,U,G,U,G,U,U,U,G,U,U,U,U,U,U,U,G,G
gb,G,G,G,U,G,U,U,U,U,U,U,U,U,U,U,U,U,U
hb,G,G,G,U,U,G,U,G,G,U,G,G,U,U,U,U,G,U
ib,G,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
jb,U,U,U,U,U,G,G,U,U,U,U,G,U,U,U,U,U,U
kb,G,G,G,G,U,U,G,U,G,N,U,G,G,G,G,G,G,G
lb,G,U,G,G,G,G,A,G,A,A,U,U,U,G,U,U,U,U
mb,G,U,G,U,U,U,U,U,U,U,G,U,U,U,U,U,G,G
nb,U,U,U,U,U,U,U,U,U,G,U,U,U,U,U,G,U,U
ob,G,A,G,G,A,A,U,G,A,U,U,U,U,G,G,G,A,A
pb,G,U,U,U,G,G,U,G,U,U,U,U,U,U,U,U,G,G
qb,U,G,G,G,U,U,U,U,U,U,U,U,U,U,U,U,U,U
rb,U,U,U,G,U,U,G,G,U,U,G,G,U,U,U,G,G,G
sb,U,U,U,G,U,U,G,U,U,U,U,G,U,G,G,N,N,N
tb,U,U,U,U,G,G,G,U,U,U,U,U,G,U,G,U,G,G
ub,U,U,U,U,U,U,U,U,U,G,U,U,U,U,U,U,U,U
vb,U,U,U,U,U,U,U,U,U,G,U,U,U,U,U,U,U,U
wb,U,U,G,G,G,U,G,G,G,U,U,U,G,G,U,G,U,U
xb,U,U,G,G,U,U,U,U,U,U,U,U,G,G,U,U,G,G
yb,U,U,U,U,G,G,U,U,U,U,G,U,U,U,U,U,U,U
zb,U,U,U,U,U,U,U,U,G,U,G,U,U,U,G,U,U,U
ac,U,U,G,U,U,G,U,U,G,U,G,U,U,U,U,U,G,G
bc,U,U,U,U,G,G,G,U,G,U,U,U,U,U,U,G,U,U
cc,U,U,U,G,N,N,G,U,U,U,U,U,U,U,U,U,U,U
dc,U,U,U,U,G,U,G,G,G,G,G,U,U,U,G,U,G,G
ec,U,U,U,G,U,U,U,G,G,U,U,U,U,U,U,U,G,G
fc,U,U,U,U,U,G,U,G,U,U,G,U,U,U,U,U,U,U
gc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
hc,U,U,U,U,A,G,N,G,N,N,G,U,U,U,U,U,U,U
ic,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
jc,U,U,U,U,U,U,U,G,U,U,U,U,U,U,U,U,U,U
kc,U,U,U,U,U,U,U,U,U,G,U,U,G,U,U,U,U,U
lc,U,U,U,U,U,U,U,U,G,U,U,U,U,U,U,U,G,G
mc,U,U,U,U,U,U,U,U,A,U,U,G,U,U,U,U,U,U
nc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
oc,U,U,U,U,U,U,U,U,G,G,G,G,G,G,G,G,G,G
pc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
qc,U,U,U,U,U,U,U,U,U,U,G,U,U,U,N,U,U,U
rc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,U,U,U
sc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,U,U
tc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,U,U,U
uc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,U,U,U
vc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,U,U
wc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,G,G
xc,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,A,A